Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: C:\animes\[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng]\legendas-ptbr
Destino: C:\animes\[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng]\legendas-ptbr-karaoke-ptbr
Duração: 259089 ms

Mobile Suit Gundam 0083 - Stardust Memory - S01E01_Track3_PT-BR.ass | letra original: 107 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E01_Track3_PT-BR.parcial.ass | letra original: 107 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_5_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_5_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_Track3_PT-BR.ass | letra original: 54 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 7 | avisos: 7
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_Track3_PT-BR.parcial.ass | letra original: 54 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E03-5_Track2_PT-BR.ass | letra original: 1 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 6 | avisos: 6
Mobile Suit Gundam 0083 - Stardust Memory - S01E03_Track3_PT-BR.ass | letra original: 54 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 3 | avisos: 3
Mobile Suit Gundam 0083 - Stardust Memory - S01E03_Track3_PT-BR.parcial.ass | letra original: 54 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E04_Track3_PT-BR.ass | letra original: 54 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 5 | avisos: 5
Mobile Suit Gundam 0083 - Stardust Memory - S01E04_Track3_PT-BR.parcial.ass | letra original: 54 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E05_Track3_PT-BR.ass | letra original: 54 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 4 | avisos: 4
Mobile Suit Gundam 0083 - Stardust Memory - S01E05_Track3_PT-BR.parcial.ass | letra original: 54 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E06_Track3_PT-BR.ass | letra original: 110 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E06_Track3_PT-BR.parcial.ass | letra original: 110 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E07_Track3_PT-BR.ass | letra original: 54 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 7 | avisos: 7
Mobile Suit Gundam 0083 - Stardust Memory - S01E07_Track3_PT-BR.parcial.ass | letra original: 54 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E08_Track3_PT-BR.ass | letra original: 52 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 26 | avisos: 26
Mobile Suit Gundam 0083 - Stardust Memory - S01E08_Track3_PT-BR.parcial.ass | letra original: 52 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 6 | avisos: 6
Mobile Suit Gundam 0083 - Stardust Memory - S01E09_Track3_PT-BR.ass | letra original: 52 | traduzidas (LLM): 12 | cache: 0 | sem tradução: 24 | avisos: 24
Mobile Suit Gundam 0083 - Stardust Memory - S01E09_Track3_PT-BR.parcial.ass | letra original: 52 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 5 | avisos: 5
Mobile Suit Gundam 0083 - Stardust Memory - S01E10_Track3_PT-BR.ass | letra original: 52 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 7 | avisos: 7
Mobile Suit Gundam 0083 - Stardust Memory - S01E11_Track3_PT-BR.ass | letra original: 52 | traduzidas (LLM): 14 | cache: 0 | sem tradução: 22 | avisos: 22
Mobile Suit Gundam 0083 - Stardust Memory - S01E11_Track3_PT-BR.parcial.ass | letra original: 52 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 8 | avisos: 8
Mobile Suit Gundam 0083 - Stardust Memory - S01E12_Track3_PT-BR.ass | letra original: 52 | traduzidas (LLM): 12 | cache: 0 | sem tradução: 5 | avisos: 5
Mobile Suit Gundam 0083 - Stardust Memory - S01E13_Track3_PT-BR.ass | letra original: 66 | traduzidas (LLM): 2 | cache: 0 | sem tradução: 8 | avisos: 8
Mobile Suit Gundam 0083 - Stardust Memory - S01E13_Track3_PT-BR.parcial.ass | letra original: 66 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 1 | avisos: 1
