Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: C:\animes\[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng]\simplificadas
Destino: C:\animes\[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng]\simplificadas-karaoke-ptbr
Duração: 282449 ms

Mobile Suit Gundam 0083 - Stardust Memory - S01E01_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 33 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E01_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 33 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_5_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_5_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 21 | cache: 1 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E03-5_Track2_PT-BR.ass | letra original: 1 | traduzidas (LLM): 5 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E03_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E03_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E04_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E04_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E05_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E05_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E06_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 42 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam 0083 - Stardust Memory - S01E06_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 42 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam 0083 - Stardust Memory - S01E07_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E07_Track3_PT-BR.parcial.ass | letra original: 0 | traduzidas (LLM): 18 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E08_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 10 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E08_Track3_PT-BR.parcial.ass | letra original: 2 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E09_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 10 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E09_Track3_PT-BR.parcial.ass | letra original: 2 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E10_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 10 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E11_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 10 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E11_Track3_PT-BR.parcial.ass | letra original: 2 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E12_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 11 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E13_Track3_PT-BR.ass | letra original: 4 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E13_Track3_PT-BR.parcial.ass | letra original: 4 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 0 | avisos: 0
